0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
1099	Normal	— Entendu, alors nous pouvons nous mettre en route, dit Anastasia, retrouvant un peu son rôle de meneuse du groupe.
1100	Normal	Une fois hors du refuge, ils virent le jour lumineux du début s’assombrir peu à peu avec l’arrivée d’un front massif de nuages qui présageait le mauvais temps. Après avoir marché environ cinq minutes, ils arrivèrent à une pente de neige allongée, d’environ cinq cents mètres, qui les obligea à recourir aux crampons et aux piolets. Le vent se renforça, ralentissant leur allure. Il y avait des tronçons où la neige avait commencé à fondre, si bien que les pieds s’y enfonçaient jusqu’au-dessus de la cheville. Sur d’autres, le sol restait gelé, avec le danger de glissades et de chutes qui s’ensuivait. L’inclinaison de la pente augmentait progressivement, obligeant à maintenir et à intensifier l’effort. Jofre, nullement habitué aux traversées de haute montagne, soufflait comme une vieille machine à vapeur. Les autres, en revanche, gardaient un bon rythme de marche, en particulier Johnny, doté qu’il était d’un corps de sportif d’élite.
1101	Normal	Après avoir franchi la pente, la fatigue due à l’altitude commença à se faire sentir. Les arrêts pour se reposer se firent plus fréquents, et Luna ne cessait de regarder le ciel, pesant la possibilité de devoir annuler l’expédition. Ils avancèrent néanmoins. C’est alors qu’un cri retentit et résonna dans toute la vallée. Yuki s’était tordu le pied en arrivant à une zone jonchée de blocs granitiques et eut besoin de l’aide de Johnny et de Jofre pour poursuivre la marche. Peu après, le groupe parvint à un passage étroit qui longeait une pente abrupte. À leur gauche, la montagne s’effondrait vers un ravin gelé ; à droite, une paroi de roche et de glace. La neige, compacte comme une enclume massive, brillait sous les rayons obliques d’un soleil déclinant.
1102	Normal	Ils finirent par atteindre le Col de Coronas. Les halètements de Jofre et de Yuki s’apaisèrent peu à peu, au même rythme que ralentissaient leurs pulsations cardiaques. Le paysage était d’une beauté naturelle saisissante, mais le vent sec et coupant les avertissait qu’ils n’avaient pas entrepris la traversée pour quelque motivation esthétique. C’est alors qu’ils tombèrent sur une crevasse large et profonde qui s’ouvrait devant eux. Luna tira d’une poche un petit flacon, à l’intérieur duquel elle gardait le pendule Ñawi Sumaq ; elle le plaça devant la crevasse, et le petit crâne se mit à tourner sur lui-même, de plus en plus vite, jusqu’à ce que l’accélération devînt si forte que l’objet échappa aux gants qui le retenaient pour aller se glisser dans l’un des trous de la crevasse. Tous les six restèrent muets et surpris en voyant le pendule se faufiler entre les morceaux de glace acérés et tranchants.
1103	Normal	— Sans aucun doute, c’est ici, en dessous, que doit se trouver le corps gelé d’Ilya. Le comportement du pendule est sans équivoque, dit Luna.
1104	Normal	— J’ai du mal à croire que mon frère soit resté tout ce temps enseveli sous ces dalles gelées, dit Anastasia, en proie à une émotion qui l’obligeait à hacher ses paroles.
1105	Normal	— Eh bien, si nous n’y descendons pas, nous ne pourrons pas le vérifier tout à fait, fit remarquer Luna. De plus, il faudra nous dépêcher, car le brouillard arrive. S’il s’épaissit trop, le chemin du retour deviendra beaucoup plus difficile.
1106	Normal	Soudain, une voix aiguë et féminine résonna depuis le fond de la crevasse. Tous restèrent aussi immobiles que les stalactites de glace qui les entouraient, se demandant à qui elle pouvait bien appartenir. Au bout de quelques secondes, une silhouette humaine émergea de l’intérieur, arborant un sourire à la fois naturel et énigmatique.
1107	Normal	— Bonjour ! Je suis Élia. Je suppose que ce pendentif est à vous.
1108	Normal	— Oui, répondit Luna. Il est à moi. Et ce n’est pas un simple pendentif.
1109	Normal	Tandis que Luna répondait, Jofre était déjà en train d’aider Élia à sortir de la gorge. Une fois qu’elle se fut redressée et qu’elle eut ôté le bonnet et les lunettes qu’elle portait, tous purent voir son visage constellé de taches de rousseur, ses yeux en amande couleur d’émeraude et ses cheveux roux. Elle était fort bien équipée pour s’aventurer sur les terrains escarpés de haute montagne, et ses mouvements dénotaient une grande agilité et une grande habileté.
1110	Normal	— Je suppose que si vous êtes ici avec ce pendule, c’est parce que vous voulez descendre dans la gorge.
1111	Normal	— En effet, répondit Anastasia.
1112	Normal	— Eh bien, vous pouvez vous en dispenser, car vous n’y trouverez rien. J’ai inspecté la zone toute la matinée et j’ai pu le constater. Cela dit, si vous ne me croyez pas, vous êtes bien libres d’y aller. Mais je vous préviens : cela exige beaucoup d’expérience. Avez-vous l’habitude de vous aventurer sur les glaciers ?
1113	Normal	Le silence qui tint lieu de réponse fut tout à fait éloquent. Johnny, cependant, ne s’avoua pas vaincu. Bien qu’il n’eût pas d’expérience, il avait accumulé dans sa mémoire synthétique toute l’information disponible sur le sujet. De plus, il jouissait d’un corps athlétique et musclé, apte à affronter les situations les plus exigeantes d’un point de vue physique ; c’est pourquoi il dit :
1114	Normal	— Ce n’est pas que je veuille douter de ta parole, Élia. Mais si nous sommes ici, c’est pour un motif très important. Aussi vais-je descendre moi-même pour vérifier ce que tu nous as dit.
1115	Normal	— Veux-tu que je t’accompagne ?
1116	Normal	— D’accord, ton expérience me sera d’une grande aide.
1117	Normal	— Moi aussi, je viens ! s’écria Anastasia. Si nous sommes ici, c’est par ma faute.
1118	Normal	— D’accord, dit Élia. Quelqu’un d’autre se joint à nous ?
1119	Normal	Personne ne voulut se joindre à l’équipe, si bien qu’Anastasia, Johnny et Élia entamèrent la descente le long de la paroi gelée de la crevasse. À mesure qu’ils descendaient, la sensation d’enfermement allait croissant, en même temps que le silence se faisait plus présent, brisé seulement par la respiration intense des trois jeunes gens. L’obscurité les obligea à allumer leurs frontales. Une fois en bas, Anastasia et Johnny se hâtèrent de fouiller chaque recoin de la gorge. C’était un espace irrégulier d’environ deux cents mètres carrés, entouré de parois plus ou moins lisses et translucides, aux tonalités dégradées entre le vert et le bleu.
1120	Normal	Comme l’avait dit Élia, il n’y avait là que de la glace, du froid et de la solitude. Nulle trace d’Ilya, si bien qu’ils décidèrent d’entreprendre le chemin du retour, avec un sentiment de profonde frustration devant l’évidence de leur échec. Tandis qu’ils remontaient le long de la paroi la moins verticale, aidés des crampons, de la corde et des piolets, Anastasia sentit son pied gauche comme retenu. Plus elle forçait pour s’en dégager, plus elle sentait de résistance en sens contraire. C’était comme si quelqu’un l’avait saisi et ne voulait plus le lâcher. En même temps, une haleine étrangement familière et chaude se mit à lui caresser le cou et les cheveux, semblable à une main fantomatique venue de nulle part. Elle se mit alors à crier pour appeler à l’aide, mais les cris ne sortaient pas de sa gorge, comme si le froid intense de la cavité lui avait gelé les cordes vocales. Terrifiée, elle se mit à donner des coups de piolet de toutes ses forces, et dans toutes les directions, jusqu’à ce que, soudain, son pied se libérât. Rassemblant le peu de forces qui lui restaient, elle reprit la montée. Johnny et Élia, qui ne s’étaient rendu compte de rien, se trouvaient déjà à quelques mètres de la sortie. Quand Anastasia parvint à s’extraire du trou, elle était si épuisée qu’elle s’évanouit.
1121	Normal	En ouvrant les yeux, la première chose qu’elle vit fut la chambre du refuge, et Yuki à ses côtés.
1122	Normal	— Bien le bonjour, marmotte !
1123	Normal	— Bonjour, Yuki. Qu’est-ce que je fais ici ? Ça fait longtemps ?
1124	Normal	— Tu ne te souviens de rien ?
1125	Normal	— Eh bien non… que s’est-il passé ?
1126	Normal	— C’est long à expliquer. Mais je peux te le résumer, si tu veux. Voyons, essaie de te souvenir de quelque chose.
1127	Normal	— Je ne sais pas si je pourrai, j’ai la tête comme un tambour. Voyons, ce que j’ai bien présent à l’esprit, c’est que j’étais prise au piège… à l’intérieur de cette crevasse. Il y avait quelque chose qui me retenait et qui ne me laissait pas sortir… et tout à coup je me retrouve au refuge ? Et où sont-ils, les autres ?
1128	Normal	— Tu t’es évanouie, Anastasia. Et comme tu ne reprenais pas connaissance, nous avons dû appeler les secours. Nous étions tous très effrayés. Peu après, un hélicoptère est arrivé avec un médecin qui t’a transportée jusqu’ici. Il nous a dit de te laisser te reposer, que tu n’avais eu qu’un malaise dû au stress et à l’épuisement. Que t’est-il arrivé, là en bas, Anastasia ?
1129	Normal	— C’était très étrange. Tu ne me croiras pas, mais j’ai senti une présence ; quelque chose voulait que je reste là en bas et ne me laissait pas partir. J’ai pu ressentir un sentiment de solitude extrême, un désarroi qui me glaçait l’âme. J’ai eu une peur bleue et je me suis mise à tout frapper avec le piolet, hystérique. À la fin, ça m’a lâchée, je ne sais pas pourquoi.
1130	Normal	— Une présence ? Mais il n’y avait rien là en bas, à part de la glace et de l’humidité. Johnny et Élia nous l’ont confirmé.
1131	Normal	— Élia ? Quelle Élia ?
1132	Normal	— Cette fille aux taches de rousseur que nous avons trouvée là-bas. Tu ne t’en souviens pas ?
1133	Normal	— Ah… oui, Élia ! Où est-elle, maintenant ?
1134	Normal	— Ils sont tous dans la chambre d’à côté, en train de finir de déjeuner et de jouer aux cartes. Ensuite, nous commencerons à redescendre vers la vallée.
1135	Normal	En entendant l’idée de partir, Anastasia réagit avec fureur.
1136	Normal	— Non, nous ne pouvons pas partir ! Je dois retourner à la crevasse, aujourd’hui même ! Je ne peux m’en aller sous aucun prétexte !
1137	Normal	En la voyant si exaltée, Yuki s’affola et décida d’appeler les autres. Ceux-ci entrèrent aussitôt, mais leur présence ne fit qu’aggraver l’état d’angoisse d’Anastasia. Alors, avant que quiconque pût réagir, Élia sortit une seringue et la lui injecta dans le bras. L’effet fut immédiat. Devant la stupeur des autres, Anastasia retrouva son calme peu à peu, jusqu’à ce qu’elle s’endormît paisiblement, tout en prononçant d’une voix qui s’éteignait : — Ilya, c’était toi, n’est-ce pas ?
1138	Normal	— Élia ! Qu’as-tu fait ? Que lui as-tu injecté, à Anastasia ? demanda Jofre, tandis que les autres se joignaient à sa question.
1139	Normal	— Du calme. Je ne lui ai donné qu’un calmant. Dans deux ou trois heures, elle sera rétablie et comme neuve.
1140	Normal	L’explication d’Élia semblait toute prête, si bien que personne ne fut vraiment convaincu, jusqu’à ce que Sami réagît :
1141	Normal	— Eh bien, tu aurais pu nous le demander avant, tu ne crois pas ?
1142	Normal	— Je suis désolée, mais il fallait agir vite. Elle était sur le point de sombrer dans une crise aiguë d’anxiété et de panique, avec un possible collapsus respiratoire. Et je l’en ai empêchée. Je l’ai fait de nombreuses fois, je sais de quoi je parle, car je me consacre à la santé mentale. Croyez-moi, se remettre de ce type de crises est très long et peut laisser des séquelles si l’on n’y remédie pas à temps.
1143	Normal	— Je ne sais pas si je dois te croire ou non. En fait, je penche pour le non. Nous ne savons pas qui tu es, réellement. Nous venons à peine de te rencontrer ! Et voilà que tu plantes une seringue dans le bras de notre amie ? Va savoir ce qu’il y avait dedans. Le mieux serait peut-être d’avertir la police, dit Johnny. Qu’en pensez-vous ?
1144	Normal	— Je crois que nous devrions nous calmer, dit Luna. Le récit d’Élia me paraît crédible, et je vois qu’Anastasia dort normalement. Aussi, avant de prendre des décisions alarmistes, je préfère attendre la suite des événements.
1145	Normal	Les paroles douces et prudentes de Luna apaisèrent les esprits, menant la situation à un silence qui se rompit lorsque Yuki s’interrogea sur un fait qui, en apparence, leur avait échappé :
